instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[14 34 12 43 21 32 23 41],[2 3 4 4 3 1 1 2],[24 44 33 42 22 13 11 31],[3 2 1 4 1 4 2 3],space,4.977584298001600,6.628717282001160,None,6.628717282001160,None,6.628717282001160,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,5.681745517998930,11.64500416899680,None,11.64500416899680,None,11.64500416899680,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,9.139583683994720,17.360903232001900,None,17.360903232001900,None,17.360903232001900,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,5.198718817999180,26.545912481000400,None,26.545912481000400,None,26.545912481000400,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,31.762239126997900,None,space,28.80838976600350,31.762239126997900,None,31.762239126997900,None,31.762239126997900,None,60.68013381600030,None,60.68013381600030,None,Maria wants her alpaca sweater back that she left in henry's dorm,Rows of desks,"[2, 1]",63.84516483399780,None,63.84516483399780,None,63.84516483399780,None,63.84516483399780,None,63.84516483399780,None,63.84516483399780,None,63.84516483399780,None,Introduction to philosophy and they were focusing on aristotle,92.06238499299800,None,92.06238499299800,None,92.06238499299800,None,92.06238499299800,None,92.06238499299800,None,92.06238499299800,None,92.06238499299800,None,,134.14414586200300,None,134.14414586200300,None,134.14414586200300,None,134.14414586200300,None,134.14414586200300,None,134.14414586200300,None,134.14414586200300,None,"The next assignment was over pre-aristotle, plato, and socrates and was on the coming thursday",151.82777752699600,None,151.82777752699600,None,151.82777752699600,None,151.82777752699600,None,151.82777752699600,None,151.82777752699600,None,151.82777752699600,None,1 week,192.9432708519960,None,192.9432708519960,None,192.9432708519960,None,192.9432708519960,None,192.9432708519960,None,192.9432708519960,None,192.9432708519960,None,Maria ia studying aboard and thinks that long distance is too hard for them and that she wont have time,201.99425894799800,None,201.99425894799800,None,201.99425894799800,None,201.99425894799800,None,201.99425894799800,None,201.99425894799800,None,201.99425894799800,None,Henry does not want to break up and he thinks they can make it work because he'll come and visit her.,231.6271852409990,None,231.6271852409990,None,231.6271852409990,None,231.6271852409990,None,231.6271852409990,None,231.6271852409990,None,231.6271852409990,None,Maria wants her alpaca sweater back that she left in henry's dorm,262.2273026280020,None,262.2273026280020,None,262.2273026280020,None,262.2273026280020,None,262.2273026280020,None,262.2273026280020,None,262.2273026280020,None,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,287.8254949609980,None,space,2.249067404001840,287.8254949609980,None,287.8254949609980,None,287.8254949609980,None,290.10919126000200,None,290.10919126000200,None,,45 minutes,"[2, 1]",292.97539701299700,None,292.97539701299700,None,292.97539701299700,None,292.97539701299700,None,292.97539701299700,None,292.97539701299700,None,292.97539701299700,None,,305.3763686149980,None,305.3763686149980,None,305.3763686149980,None,305.3763686149980,None,305.3763686149980,None,305.3763686149980,None,305.3763686149980,None,,321.15915019399800,None,321.15915019399800,None,321.15915019399800,None,321.15915019399800,None,321.15915019399800,None,321.15915019399800,None,321.15915019399800,None,Jessie is in 34a and calvin is 36f and both are in economy,329.27566562099700,None,329.27566562099700,None,329.27566562099700,None,329.27566562099700,None,329.27566562099700,None,329.27566562099700,None,329.27566562099700,None,Jessie has been thinking about it for 5 months,359.12531264699600,None,359.12531264699600,None,359.12531264699600,None,359.12531264699600,None,359.12531264699600,None,359.12531264699600,None,359.12531264699600,None,Jessie says that their personalities don't match,380.17516592399600,None,380.17516592399600,None,380.17516592399600,None,380.17516592399600,None,380.17516592399600,None,380.17516592399600,None,380.17516592399600,None,Calvin agrees with the break up even though he is mad because hes been trying to please her the whole trip and its gone unappreciated,402.35721174199700,None,402.35721174199700,None,402.35721174199700,None,402.35721174199700,None,402.35721174199700,None,402.35721174199700,None,402.35721174199700,None,,443.55753699199700,None,443.55753699199700,None,443.55753699199700,None,443.55753699199700,None,443.55753699199700,None,443.55753699199700,None,443.55753699199700,None,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
,3,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,458.756877834996,None,space,1.301923925995650,458.756877834996,None,458.756877834996,None,458.756877834996,None,460.10752710799700,None,460.10752710799700,None,The groceries are 45 dollars total between both of them and simon pays in card,Carina is holding meat,"[1, 2]",463.0407891270010,None,463.0407891270010,None,463.0407891270010,None,463.0407891270010,None,463.0407891270010,None,463.0407891270010,None,463.0407891270010,None,Carina says to simon that this meat is cute,482.0072310530010,None,482.0072310530010,None,482.0072310530010,None,482.0072310530010,None,482.0072310530010,None,482.0072310530010,None,482.0072310530010,None,They are meeting on sunday for dinner,517.3735511290000,None,517.3735511290000,None,517.3735511290000,None,517.3735511290000,None,517.3735511290000,None,517.3735511290000,None,517.3735511290000,None,Four thirty,533.2232170840000,None,533.2232170840000,None,533.2232170840000,None,533.2232170840000,None,533.2232170840000,None,533.2232170840000,None,533.2232170840000,None,,545.7397009139970,None,545.7397009139970,None,545.7397009139970,None,545.7397009139970,None,545.7397009139970,None,545.7397009139970,None,545.7397009139970,None,Food for their barbeques. simon gets vegetebles and spices and carina gets meat,558.9400117010010,None,558.9400117010010,None,558.9400117010010,None,558.9400117010010,None,558.9400117010010,None,558.9400117010010,None,558.9400117010010,None,There is one open,611.4557088660000,None,611.4557088660000,None,611.4557088660000,None,611.4557088660000,None,611.4557088660000,None,611.4557088660000,None,611.4557088660000,None,The groceries are 45 dollars total between both of them and simon pays in card,622.672124425997,None,622.672124425997,None,622.672124425997,None,622.672124425997,None,622.672124425997,None,622.672124425997,None,622.672124425997,None,,,11821,1,2,0,3,0,42,2022_Jan_18_1136,short_answer,3.2.4,60.153700403194100,
