instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[32 34 41 43 14 12 23 21],[1 3 2 4 3 1 4 2],[13 31 24 11 22 44 42 33],[1 3 2 3 4 2 4 1],space,4.925012423999988,7.161296708000009,None,7.161296708000009,None,7.161296708000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,5.387425058999952,12.12836914200011,None,12.12836914200011,None,12.12836914200011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,7.351616745000001,17.56122973000015,None,17.56122973000015,None,17.56122973000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,6.132833903999881,24.961777599000015,None,24.961777599000015,None,24.961777599000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,31.145387646000017,None,space,24.610833957000068,31.145387646000017,None,31.145387646000017,None,31.145387646000017,None,55.84527905800019,None,55.84527905800019,None,,Jeff sells wine in the northeast; william buys wine to distribute in the northwest,"[1, 2]",58.04486989300017,None,58.04486989300017,None,58.04486989300017,None,58.04486989300017,None,58.04486989300017,None,58.04486989300017,None,58.04486989300017,None,William offers to buy a large sample at half the price. they later agree on $400 of wine that is actually $600,99.894713336,None,99.894713336,None,99.894713336,None,99.894713336,None,99.894713336,None,99.894713336,None,99.894713336,None,,158.30989536100014,None,158.30989536100014,None,158.30989536100014,None,158.30989536100014,None,158.30989536100014,None,158.30989536100014,None,158.30989536100014,None,,162.37622469200005,None,162.37622469200005,None,162.37622469200005,None,162.37622469200005,None,162.37622469200005,None,162.37622469200005,None,162.37622469200005,None,,168.56056194100006,None,168.56056194100006,None,168.56056194100006,None,168.56056194100006,None,168.56056194100006,None,168.56056194100006,None,168.56056194100006,None,,172.44415016100015,None,172.44415016100015,None,172.44415016100015,None,172.44415016100015,None,172.44415016100015,None,172.44415016100015,None,172.44415016100015,None,,180.76023368300002,None,180.76023368300002,None,180.76023368300002,None,180.76023368300002,None,180.76023368300002,None,180.76023368300002,None,180.76023368300002,None,,184.29370633000008,None,184.29370633000008,None,184.29370633000008,None,184.29370633000008,None,184.29370633000008,None,184.29370633000008,None,184.29370633000008,None,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,196.07556391800017,None,space,1.941011921000154,196.07556391800017,None,196.07556391800017,None,196.07556391800017,None,198.0595481350001,None,198.0595481350001,None,They like it a lot because the fish tastes fresh,,"[1, 2]",200.910042105,None,200.910042105,None,200.910042105,None,200.910042105,None,200.910042105,None,200.910042105,None,200.910042105,None,Teresa asks james if he's had a specific experience with scorpions,207.91075512400016,None,207.91075512400016,None,207.91075512400016,None,207.91075512400016,None,207.91075512400016,None,207.91075512400016,None,207.91075512400016,None,That evening for an egyptian concert,283.5931431270003,None,283.5931431270003,None,283.5931431270003,None,283.5931431270003,None,283.5931431270003,None,283.5931431270003,None,283.5931431270003,None,,297.6420830750001,None,297.6420830750001,None,297.6420830750001,None,297.6420830750001,None,297.6420830750001,None,297.6420830750001,None,297.6420830750001,None,,308.67569074900007,None,308.67569074900007,None,308.67569074900007,None,308.67569074900007,None,308.67569074900007,None,308.67569074900007,None,308.67569074900007,None,,311.4086003760001,None,311.4086003760001,None,311.4086003760001,None,311.4086003760001,None,311.4086003760001,None,311.4086003760001,None,311.4086003760001,None,"Sushi, fresh fish",316.14111497199997,None,316.14111497199997,None,316.14111497199997,None,316.14111497199997,None,316.14111497199997,None,316.14111497199997,None,316.14111497199997,None,They like it a lot because the fish tastes fresh,325.807827717,None,325.807827717,None,325.807827717,None,325.807827717,None,325.807827717,None,325.807827717,None,325.807827717,None,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
,3,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,338.507587455,None,space,1.2881224390002899,338.507587455,None,338.507587455,None,338.507587455,None,339.84114455600024,None,339.84114455600024,None,"$50, simon pays with credit card",,"[1, 2]",345.32507482999995,None,345.32507482999995,None,345.32507482999995,None,345.32507482999995,None,345.32507482999995,None,345.32507482999995,None,345.32507482999995,None,,350.15782938300003,None,350.15782938300003,None,350.15782938300003,None,350.15782938300003,None,350.15782938300003,None,350.15782938300003,None,350.15782938300003,None,They are going to dinner together,354.75832911500015,None,354.75832911500015,None,354.75832911500015,None,354.75832911500015,None,354.75832911500015,None,354.75832911500015,None,354.75832911500015,None,Before carina's barbeque,368.97423805099993,None,368.97423805099993,None,368.97423805099993,None,368.97423805099993,None,368.97423805099993,None,368.97423805099993,None,368.97423805099993,None,,377.12484869900004,None,377.12484869900004,None,377.12484869900004,None,377.12484869900004,None,377.12484869900004,None,377.12484869900004,None,377.12484869900004,None,Ingredients for meat kebabs,379.05781309300005,None,379.05781309300005,None,379.05781309300005,None,379.05781309300005,None,379.05781309300005,None,379.05781309300005,None,379.05781309300005,None,"3 lanes open, lane 8",396.25756487800004,None,396.25756487800004,None,396.25756487800004,None,396.25756487800004,None,396.25756487800004,None,396.25756487800004,None,396.25756487800004,None,"$50, simon pays with credit card",410.52411610600006,None,410.52411610600006,None,410.52411610600006,None,410.52411610600006,None,410.52411610600006,None,410.52411610600006,None,410.52411610600006,None,,,101221,0,2,0,3,0,18,2021_Oct_12_1131,short_answer,3.2.4,60.03214168893899,
