count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,[22 24 13 42 44 31 33 11],[4 4 3 1 1 2 2 3],12.123222837999900,None,space,1.53088185300021,12.123222837999900,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100621,0,3,0,2,0,2,0,14,2021_Oct_06_1525,recall_fmri,3.2.4,59.84171185013560,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,13.674125940000100,None,equal,33.085666045999900,13.674125940000100,None,34.66602474200000,13.674125940000100,None,13.674125940000100,None,0.00035171099989383900,46.790970002000000,None,5.999340505999950,52.807255652000100,None,2,1.6764384060002200,52.807255652000100,None,52.807255652000100,None,52.807255652000100,None,7.717265690999740,379.07797206300000,54.59105858199970,None,54.59105858199970,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/100621_bk2_recall_fmri_wav/recall_audio_2-1633548350.575.wav,0.01568087679970630,None,2,371.25172365400000,54.59105858199970,None,54.59105858199970,None,100621,0,3,0,2,0,2,0,14,2021_Oct_06_1525,recall_fmri,3.2.4,59.84171185013560,
