instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[43 34 41 32 14 12 23 21],[2 3 4 1 3 1 2 4],[24 11 13 33 44 22 42 31],[2 1 3 3 2 4 4 1],space,16.704604618000303,11.93347410700062,None,11.93347410700062,None,11.93347410700062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,5.330609656000888,28.68256465000013,None,28.68256465000013,None,28.68256465000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,7.343880923999677,34.05048369100041,None,34.05048369100041,None,34.05048369100041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,5.943198922000192,41.433863682000265,None,41.433863682000265,None,41.433863682000265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,47.41737139900033,None,space,24.15573853600017,47.41737139900033,None,47.41737139900033,None,47.41737139900033,None,71.66757970100025,None,71.66757970100025,None,Credit card,Beef,"[1, 2]",74.30089078400033,None,74.30089078400033,None,74.30089078400033,None,74.30089078400033,None,74.30089078400033,None,74.30089078400033,None,74.30089078400033,None, ,91.15121288000046,None,91.15121288000046,None,91.15121288000046,None,91.15121288000046,None,91.15121288000046,None,91.15121288000046,None,91.15121288000046,None,Cooking,101.500763731,None,101.500763731,None,101.500763731,None,101.500763731,None,101.500763731,None,101.500763731,None,101.500763731,None,,145.2655591010007,None,145.2655591010007,None,145.2655591010007,None,145.2655591010007,None,145.2655591010007,None,145.2655591010007,None,145.2655591010007,None,,149.8159744000004,None,149.8159744000004,None,149.8159744000004,None,149.8159744000004,None,149.8159744000004,None,149.8159744000004,None,149.8159744000004,None,,159.96643612800017,None,159.96643612800017,None,159.96643612800017,None,159.96643612800017,None,159.96643612800017,None,159.96643612800017,None,159.96643612800017,None,"5 open, and they choose 3",162.93190758200035,None,162.93190758200035,None,162.93190758200035,None,162.93190758200035,None,162.93190758200035,None,162.93190758200035,None,162.93190758200035,None,Credit card,183.6830784650001,None,183.6830784650001,None,183.6830784650001,None,183.6830784650001,None,183.6830784650001,None,183.6830784650001,None,183.6830784650001,None,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,192.74816915800056,None,space,2.0861287819998324,192.74816915800056,None,192.74816915800056,None,192.74816915800056,None,194.88210027900004,None,194.88210027900004,None,They said they are good to the servant,,"[1, 2]",197.78175896600078,None,197.78175896600078,None,197.78175896600078,None,197.78175896600078,None,197.78175896600078,None,197.78175896600078,None,197.78175896600078,None,,201.5488084640001,None,201.5488084640001,None,201.5488084640001,None,201.5488084640001,None,201.5488084640001,None,201.5488084640001,None,201.5488084640001,None,,202.73176825600058,None,202.73176825600058,None,202.73176825600058,None,202.73176825600058,None,202.73176825600058,None,202.73176825600058,None,202.73176825600058,None,,206.26498232000085,None,206.26498232000085,None,206.26498232000085,None,206.26498232000085,None,206.26498232000085,None,206.26498232000085,None,206.26498232000085,None,,207.89873989400076,None,207.89873989400076,None,207.89873989400076,None,207.89873989400076,None,207.89873989400076,None,207.89873989400076,None,207.89873989400076,None,Small,212.0830238410008,None,212.0830238410008,None,212.0830238410008,None,212.0830238410008,None,212.0830238410008,None,212.0830238410008,None,212.0830238410008,None,,219.7640788260005,None,219.7640788260005,None,219.7640788260005,None,219.7640788260005,None,219.7640788260005,None,219.7640788260005,None,219.7640788260005,None,They said they are good to the servant,222.4319096220006,None,222.4319096220006,None,222.4319096220006,None,222.4319096220006,None,222.4319096220006,None,222.4319096220006,None,222.4319096220006,None,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
,3,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,241.33107057300003,None,space,1.6458961599992108,241.33107057300003,None,241.33107057300003,None,241.33107057300003,None,243.01451805500074,None,243.01451805500074,None,"Business class, and 31a and b",,"[1, 2]",246.79872125700058,None,246.79872125700058,None,246.79872125700058,None,246.79872125700058,None,246.79872125700058,None,246.79872125700058,None,246.79872125700058,None,,250.26498358300069,None,250.26498358300069,None,250.26498358300069,None,250.26498358300069,None,250.26498358300069,None,250.26498358300069,None,250.26498358300069,None,,254.44821295600013,None,254.44821295600013,None,254.44821295600013,None,254.44821295600013,None,254.44821295600013,None,254.44821295600013,None,254.44821295600013,None,Shake hands,258.09828415500033,None,258.09828415500033,None,258.09828415500033,None,258.09828415500033,None,258.09828415500033,None,258.09828415500033,None,258.09828415500033,None,They have 2hours,272.7319103380005,None,272.7319103380005,None,272.7319103380005,None,272.7319103380005,None,272.7319103380005,None,272.7319103380005,None,272.7319103380005,None,,282.2983011720007,None,282.2983011720007,None,282.2983011720007,None,282.2983011720007,None,282.2983011720007,None,282.2983011720007,None,282.2983011720007,None,,286.74854582100033,None,286.74854582100033,None,286.74854582100033,None,286.74854582100033,None,286.74854582100033,None,286.74854582100033,None,286.74854582100033,None,"Business class, and 31a and b",295.38159808600085,None,295.38159808600085,None,295.38159808600085,None,295.38159808600085,None,295.38159808600085,None,295.38159808600085,None,295.38159808600085,None,,,110521,0,2,2,3,0,24,2021_Nov_05_1628,short_answer,3.2.4,59.60702021453528,
