instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[42 31 24 11 13 22 33 44],[1 2 3 2 4 1 4 3],[32 43 41 14 23 12 21 34],[4 1 3 2 1 4 3 2],space,6.045761662999666,8.266845278999881,None,8.266845278999881,None,8.266845278999881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,6.317898958000114,14.350606238000182,None,14.350606238000182,None,14.350606238000182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,8.264614927000366,20.71774679400005,None,20.71774679400005,None,20.71774679400005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,5.310441462999734,29.017230657000255,None,29.017230657000255,None,29.017230657000255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,34.36778067200021,None,space,5.071371059000285,34.36778067200021,None,34.36778067200021,None,34.36778067200021,None,39.535862310000084,None,39.535862310000084,None,3,Anna has only 35 minutes but david has 3 hours,"[2, 1]",41.61749401999987,None,41.61749401999987,None,41.61749401999987,None,41.61749401999987,None,41.61749401999987,None,41.61749401999987,None,41.61749401999987,None,There was a problem with the metal detector,63.784135219999825,None,63.784135219999825,None,63.784135219999825,None,63.784135219999825,None,63.784135219999825,None,63.784135219999825,None,63.784135219999825,None,Anna's gate,82.3165246120002,None,82.3165246120002,None,82.3165246120002,None,82.3165246120002,None,82.3165246120002,None,82.3165246120002,None,82.3165246120002,None,"Anna sits near the window at the business class section, david is not mentioned",88.91830143200013,None,88.91830143200013,None,88.91830143200013,None,88.91830143200013,None,88.91830143200013,None,88.91830143200013,None,88.91830143200013,None,Anna is holding suitcases david is holding a book,109.38403217999985,None,109.38403217999985,None,109.38403217999985,None,109.38403217999985,None,109.38403217999985,None,109.38403217999985,None,109.38403217999985,None,David asks anna if she has ever done gymnastics,123.63340150300019,None,123.63340150300019,None,123.63340150300019,None,123.63340150300019,None,123.63340150300019,None,123.63340150300019,None,123.63340150300019,None,The next tuesday for dinner,141.982838979,None,141.982838979,None,141.982838979,None,141.982838979,None,141.982838979,None,141.982838979,None,141.982838979,None,3,148.51648078100015,None,148.51648078100015,None,148.51648078100015,None,148.51648078100015,None,148.51648078100015,None,148.51648078100015,None,148.51648078100015,None,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,158.18252030099984,None,space,1.0207294179999735,158.18252030099984,None,158.18252030099984,None,158.18252030099984,None,159.2495950319999,None,159.2495950319999,None,Cheers,Wooden floors,"[2, 1]",160.4163254949999,None,160.4163254949999,None,160.4163254949999,None,160.4163254949999,None,160.4163254949999,None,160.4163254949999,None,160.4163254949999,None,Very ordinary,180.04894457499995,None,180.04894457499995,None,180.04894457499995,None,180.04894457499995,None,180.04894457499995,None,180.04894457499995,None,180.04894457499995,None,Mr shelton orders the steak medium rare with a martini and mr gordon orders ribs with manhattan,187.36590595799998,None,187.36590595799998,None,187.36590595799998,None,187.36590595799998,None,187.36590595799998,None,187.36590595799998,None,187.36590595799998,None,They do not like it that much as the meat is dry and overcooked,209.09997337799996,None,209.09997337799996,None,209.09997337799996,None,209.09997337799996,None,209.09997337799996,None,209.09997337799996,None,209.09997337799996,None,Mr gordon is an investor and mr shelton is a business owner/boss,224.11640128499994,None,224.11640128499994,None,224.11640128499994,None,224.11640128499994,None,224.11640128499994,None,224.11640128499994,None,224.11640128499994,None,"600,000",240.9157195130001,None,240.9157195130001,None,240.9157195130001,None,240.9157195130001,None,240.9157195130001,None,240.9157195130001,None,240.9157195130001,None,Do not remember,250.231848076,None,250.231848076,None,250.231848076,None,250.231848076,None,250.231848076,None,250.231848076,None,250.231848076,None,Cheers,255.96547896799984,None,255.96547896799984,None,255.96547896799984,None,255.96547896799984,None,255.96547896799984,None,255.96547896799984,None,255.96547896799984,None,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
,3,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,265.498155711,None,space,1.2771700620000956,265.498155711,None,265.498155711,None,265.498155711,None,266.8147965439998,None,266.8147965439998,None,Sadie wants her poster back,It is reminiscent of the 70s,"[2, 1]",267.89807981600006,None,267.89807981600006,None,267.89807981600006,None,267.89807981600006,None,267.89807981600006,None,267.89807981600006,None,267.89807981600006,None,The menus are laminated and have weird names for the foods,277.9982847219999,None,277.9982847219999,None,277.9982847219999,None,277.9982847219999,None,277.9982847219999,None,277.9982847219999,None,277.9982847219999,None,Sadie orders a rueben and thomas orders a burger,288.081417803,None,288.081417803,None,288.081417803,None,288.081417803,None,288.081417803,None,288.081417803,None,288.081417803,None,Sadie takes half of her rueben with her but thomas does not like the burger and feels that it tastes fishy in his mouth,300.66406260099984,None,300.66406260099984,None,300.66406260099984,None,300.66406260099984,None,300.66406260099984,None,300.66406260099984,None,300.66406260099984,None,For two months,322.2314804389998,None,322.2314804389998,None,322.2314804389998,None,322.2314804389998,None,322.2314804389998,None,322.2314804389998,None,322.2314804389998,None,Thomas mentions he has issues with his career and that is why he is breaking up with sadie,329.24802995400023,None,329.24802995400023,None,329.24802995400023,None,329.24802995400023,None,329.24802995400023,None,329.24802995400023,None,329.24802995400023,None,"Sadie does not want to break up with thomas and tries to convince him to stay with her, to see each other less if he has problems. however, thomas says his career and work are at stake",346.9143907920002,None,346.9143907920002,None,346.9143907920002,None,346.9143907920002,None,346.9143907920002,None,346.9143907920002,None,346.9143907920002,None,Sadie wants her poster back,392.980014106,None,392.980014106,None,392.980014106,None,392.980014106,None,392.980014106,None,392.980014106,None,392.980014106,None,,,072821,1,3,0,3,1,54,2021_Jul_28_1712,short_answer,3.2.4,59.95866473642766,
