count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[43 14 21 32 12 34 23 41],[2 4 3 1 4 1 3 2],12.355455529999745,None,space,43.83649673099717,12.355455529999745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102221,1,2,0,2,0,1,0,40,2021_Oct_22_1547,recall_fmri,3.2.4,59.68495962565246,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,56.222699550999096,None,equal,22.570646916999976,56.222699550999096,None,66.47299996700167,56.222699550999096,None,56.222699550999096,None,0.0003784670007007662,78.82187432700084,None,5.999466498000402,84.8236447340023,None,6,1.4577190660020278,84.8236447340023,None,84.8236447340023,None,84.8236447340023,None,7.4832413570002245,13.131923191998794,86.37382649199935,None,86.37382649199935,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/102221_bk1_recall_fmri_wav/recall_audio-1634932140.365.wav,0.007669028502277797,None,6,5.557534482999472,86.37382649199935,None,86.37382649199935,None,102221,1,2,0,2,0,1,0,40,2021_Oct_22_1547,recall_fmri,3.2.4,59.68495962565246,
