count,audio,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_25.thisRepN,trials_25.thisTrialN,trials_25.thisN,trials_25.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_26.thisRepN,trials_26.thisTrialN,trials_26.thisN,trials_26.thisIndex,story_list_block2,action_list_block2,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_76.started,text_76.stopped,text_77.started,text_77.stopped,startWait,endWait,image_23.started,image_23.stopped,text_55.started,text_55.stopped,text_56.started,text_56.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_82.started,text_82.stopped,text_57.started,text_57.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,text_83.started,text_83.stopped,text_60.started,text_60.stopped,image_2.started,image_2.stopped,text_58.started,text_58.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.started,key_resp_23.stopped,text_62.started,text_62.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,text_84.started,text_84.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_59.started,text_59.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,text_85.started,text_85.stopped,text_61.started,text_61.stopped,image_17.started,image_17.stopped,text_63.started,text_63.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.started,key_resp_24.stopped,text_64.started,text_64.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,storyImage_StartTime,storyImage_EndTime,clip_StartTime,clip_EndTime,text_67.started,text_67.stopped,text_68.started,text_68.stopped,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[23 34 21 32 12 41 43 14],[1 1 3 3 2 2 4 4],13.626284842001041,None,equal,17.19480041299903,13.626284842001041,None,17.21330375999969,13.626284842001041,None,13.626284842001041,None,0.00033676000020932406,5.999537917003181,30.843592489000002,None,36.85637986200163,None,36.85637986200163,None,1,1.3948639529990032,36.85637986200163,None,36.85637986200163,None,38.27739148399996,None,1,0.9949003709989483,38.27739148399996,None,38.27739148399996,None,39.3100806500006,None,39.3100806500006,None,39.3100806500006,None,1,1.2520985139999539,39.3100806500006,None,40.594018693002,None,1,1.3562241550025647,40.594018693002,None,40.594018693002,None,42.057044573000894,None,42.057044573000894,None,42.057044573000894,None,42.057044573000894,None,42.057044573000894,None,42.057044573000894,None,42.057044573000894,None,None,42.057044573000894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.00616087199887,None,6,1.6059552219994657,69.00616087199887,None,69.00616087199887,None,70.65594184600195,None,70.65594184600195,None,70.65594184600195,None,6,0.8371892110008048,70.65594184600195,None,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,parcelated_audio/23/23_1.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.51096139400033,None,6,1.380296344999806,71.51096139400033,None,42.09492434300046,45.09948825200263,45.104821879001975,55.51137218200165,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,parcelated_audio/23/23_2.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.51178263800102,62.38638967100269,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,parcelated_audio/23/23_3.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.386732126000425,68.15550736300065,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,parcelated_audio/23/23_4.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.15585107800143,79.42756241000097,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,parcelated_audio/23/23_5.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.42797201800204,85.63551510900288,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,parcelated_audio/23/23_6.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.63586442700034,93.04643482900065,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
0,parcelated_audio/23/23_7.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.04723374800233,99.80553359600162,,,,,111721,1,2,0,1,1,1,2,0,38,2021_Nov_17_1138,listening_fmri,3.2.4,60.225908102803444,
