instructions,count,audio,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,trials_23.thisRepN,trials_23.thisTrialN,trials_23.thisN,trials_23.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_87.started,text_87.stopped,text_88.started,text_88.stopped,key_resp_31.keys,key_resp_31.rt,key_resp_31.started,key_resp_31.stopped,text_89.started,text_89.stopped,image_27.started,image_27.stopped,text_97.started,text_97.stopped,image_24.started,image_24.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,text_78.started,text_78.stopped,text_96.started,text_96.stopped,image_28.started,image_28.stopped,key_resp_36.keys,key_resp_36.rt,key_resp_36.started,key_resp_36.stopped,text_94.started,text_94.stopped,text_95.started,text_95.stopped,text_90.started,text_90.stopped,key_resp_32.keys,key_resp_32.rt,key_resp_32.started,key_resp_32.stopped,text_91.started,text_91.stopped,key_resp_33.keys,key_resp_33.rt,key_resp_33.started,key_resp_33.stopped,text_92.started,text_92.stopped,key_resp_34.keys,key_resp_34.rt,key_resp_34.started,key_resp_34.stopped,text_93.started,text_93.stopped,key_resp_35.keys,key_resp_35.rt,key_resp_35.started,key_resp_35.stopped,text_98.started,text_98.stopped,text_99.started,text_99.stopped,key_resp_37.keys,key_resp_37.rt,key_resp_37.started,key_resp_37.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_76.started,text_76.stopped,text_77.started,text_77.stopped,startWait,endWait,image_23.started,image_23.stopped,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text.started,text.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,storyImage_StartTime,storyImage_EndTime,clip_StartTime,clip_EndTime,text_6.started,text_6.stopped,text_52.started,text_52.stopped,text_33.started,text_33.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,text_79.started,text_79.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.started,key_resp_22.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_80.started,text_80.stopped,question1_3.started,question1_3.stopped,question2_3.started,question2_3.stopped,question3_3.started,question3_3.stopped,question4_3.started,question4_3.stopped,question5_3.started,question5_3.stopped,question6_3.started,question6_3.stopped,image_16.started,image_16.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_81.started,text_81.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
Welcome to the story listening part of the experiment. ,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[44 22 31 11 42 33 24 13],[4 3 3 2 2 1 1 4],6,2.8263031169990427,12.804446121999717,None,12.804446121999717,None,12.804446121999717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
"As a reminder, you will listen to 12 short stories.",,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.1930950109999685,15.670653276998564,None,15.670653276998564,None,15.670653276998564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
These stories will be divided into 2 blocks of 6 stories.,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.8332899310007633,16.894465313000183,None,16.894465313000183,None,16.894465313000183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
"Before some of the stories, we will ask you to take on the perspective of a job. ",,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0732188760011923,17.77053902699845,None,17.77053902699845,None,17.77053902699845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
Please “simulate” this job while you listen to the story that follows.,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.9470623609995528,18.87070019999919,None,18.87070019999919,None,18.87070019999919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
"Before you begin, we will go over how to use the button box:",,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.9872851769996487,19.84446326499892,None,19.84446326499892,None,19.84446326499892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
"In this experiment, you'll use the first three fingers on each hand to do the quizzes and advance through the experiment. ",,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.9221529650003504,20.8605662989994,None,20.8605662989994,None,20.8605662989994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.8611222099989391,21.810611993998464,None,21.810611993998464,None,21.810611993998464,None,21.810611993998464,None,22.694580393999786,None,6,1.0091792170005647,22.694580393999786,None,22.694580393999786,None,22.694580393999786,None,22.694580393999786,None,6,1.2963601460014615,23.73737133599934,None,23.73737133599934,None,23.73737133599934,None,25.060477323999294,None,1,1.2023298179992707,25.060477323999294,None,26.277367581998988,None,8,1.0393773270006932,26.277367581998988,None,27.344258461998834,None,6,1.2764827859991783,27.344258461998834,None,28.644085171999905,None,2,1.1456452279999212,28.644085171999905,None,29.811010756999167,None,29.811010756999167,None,6,1.2407615459997032,29.811010756999167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
,0,parcelated_audio/44/44_1.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0772724139988,None,equal,25.830655527999625,31.0772724139988,None,44.142120049998994,31.0772724139988,None,31.0772724139988,None,0.0004814650001208065,5.999104419001014,56.92763564300003,None,62.94407707499886,None,6,1.4486926019999373,62.94407707499886,None,62.94407707499886,None,62.94407707499886,None,64.41083474799962,None,6,1.8249227950000204,64.41083474799962,None,9.329698298999574,12.332132530000308,12.338852159000453,20.264203070000804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
,0,parcelated_audio/44/44_2.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.26459924700066,29.393579775000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111721,1,2,0,1,1,1,1,0,38,2021_Nov_17_1104,listening_fmri,3.2.4,59.95800864860947,
