instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[33 44 11 13 42 31 22 24],[3 4 1 3 2 1 2 4],[21 43 23 34 41 32 12 14],[4 2 2 1 4 3 3 1],space,10.434524366000915,6.8590727360005985,None,6.8590727360005985,None,6.8590727360005985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,4.9120680800006085,17.341696383000453,None,17.341696383000453,None,17.341696383000453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,7.527514224999322,22.292529595000815,None,22.292529595000815,None,22.292529595000815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,6.155933402000301,29.859926901999643,None,29.859926901999643,None,29.859926901999643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,36.05877950200011,None,space,29.837058149001678,36.05877950200011,None,36.05877950200011,None,36.05877950200011,None,65.99332646000039,None,65.99332646000039,None,Paper on mummifcation ,Book,"[1, 2]",69.95927626400044,None,69.95927626400044,None,69.95927626400044,None,69.95927626400044,None,69.95927626400044,None,69.95927626400044,None,69.95927626400044,None,Are you from la,103.209416134001,None,103.209416134001,None,103.209416134001,None,103.209416134001,None,103.209416134001,None,103.209416134001,None,103.209416134001,None,For a walk at 8pm,147.3588519820005,None,147.3588519820005,None,147.3588519820005,None,147.3588519820005,None,147.3588519820005,None,147.3588519820005,None,147.3588519820005,None,Noon,155.95847469399996,None,155.95847469399996,None,155.95847469399996,None,155.95847469399996,None,155.95847469399996,None,155.95847469399996,None,155.95847469399996,None,,161.40817095700004,None,161.40817095700004,None,161.40817095700004,None,161.40817095700004,None,161.40817095700004,None,161.40817095700004,None,161.40817095700004,None,History of egypt - mummifcation,173.57428856300066,None,173.57428856300066,None,173.57428856300066,None,173.57428856300066,None,173.57428856300066,None,173.57428856300066,None,173.57428856300066,None,Funerals in egypt/mummies,182.55782046400054,None,182.55782046400054,None,182.55782046400054,None,182.55782046400054,None,182.55782046400054,None,182.55782046400054,None,182.55782046400054,None,Paper on mummifcation ,203.5572845280003,None,203.5572845280003,None,203.5572845280003,None,203.5572845280003,None,203.5572845280003,None,203.5572845280003,None,203.5572845280003,None,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,218.37336863400014,None,space,2.2381195460002345,218.37336863400014,None,218.37336863400014,None,218.37336863400014,None,220.6735824949992,None,220.6735824949992,None,It's subpar,A few weeks,"[1, 2]",222.07517232300052,None,222.07517232300052,None,222.07517232300052,None,222.07517232300052,None,222.07517232300052,None,222.07517232300052,None,222.07517232300052,None,Work and career change,228.35722272299972,None,228.35722272299972,None,228.35722272299972,None,228.35722272299972,None,228.35722272299972,None,228.35722272299972,None,228.35722272299972,None,"No, they want to work it out because she thinks they are good together",236.4078776690003,None,236.4078776690003,None,236.4078776690003,None,236.4078776690003,None,236.4078776690003,None,236.4078776690003,None,236.4078776690003,None,Sadie,253.70685091800078,None,253.70685091800078,None,253.70685091800078,None,253.70685091800078,None,253.70685091800078,None,253.70685091800078,None,253.70685091800078,None,,256.1235059640003,None,256.1235059640003,None,256.1235059640003,None,256.1235059640003,None,256.1235059640003,None,256.1235059640003,None,256.1235059640003,None,They have a lot of food items on it,267.62257144999967,None,267.62257144999967,None,267.62257144999967,None,267.62257144999967,None,267.62257144999967,None,267.62257144999967,None,267.62257144999967,None,Thomas orders a hamburger ,282.6564095550002,None,282.6564095550002,None,282.6564095550002,None,282.6564095550002,None,282.6564095550002,None,282.6564095550002,None,282.6564095550002,None,It's subpar,294.0399936199992,None,294.0399936199992,None,294.0399936199992,None,294.0399936199992,None,294.0399936199992,None,294.0399936199992,None,294.0399936199992,None,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
,3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102921,0,2,1,2,1,20,2021_Oct_29_1631,short_answer,3.2.4,60.06830006026949,
